"PolicyName","Type","PolicyAction","ApplicationName","ApplicationType","TotalWeight"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","ndp48-x86-x64-allos-enu.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","3DCONNEXION SAM","EXE","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","*vcredist_x86.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","*vcredist_x64.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","ugii.bat","Script","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Install Autodesk Vault Professional Client 2025.2.1.bat","Script","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Install Autodesk Mechanical 2025.0.1.bat","Script","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","NDP472-KB4054530-x86-x64-AllOS-ENU.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Flexera Software LLC","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Siemens Industry Software Inc.","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Creo_*.cmd","Script","150"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Install AutoCAD Electrical 2023.bat","Script","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","HCL America Inc.","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Install Autodesk Inventor Professional 2025.2.1.bat","Script","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","repair_wmi.cmd","Script","120"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Check_FlexPlus_C++_Runtimes.cmd","Script","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","notepad++.exe","EXE","165"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","JT_Supplier_Package_Build_24.11.exe","EXE","135"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","OBS-Studio-29.1.3-Full-Installer-x64.exe","EXE","75"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Scooter Software Inc","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","WindowsTH-RSAT_WS_1803-x64.msu","MSU","75"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","AD Tool.msu","MSU","75"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","OBS-Studio-29.1.3-Full-Installer-x64.exe","EXE","75"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","VC_redist.x86.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","VC_redist.x64.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","VC_redist.x64.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","VC_redist.x86.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","The MathWorks, Inc.","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate",,"WinAdminTask","0"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Dassault Systemes SolidWorks Corp.","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","PTC Inc.","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","PTC Inc.","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Autodesk, Inc.","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Autodesk, Inc.","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","The MathWorks, Inc.","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Dassault Systemes SolidWorks Corp.","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Notepad++","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Notepad++","MSI","50"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Altium LLC","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","XPLM Solution GmbH","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","XPLM Solution GmbH","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","DASSAULT SYSTEMES SE","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","DASSAULT SYSTEMES SE","MSI","50"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Hugh Bailey","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Hugh Bailey","MSI","50"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","NVIDIA Corporation","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","NVIDIA Corporation","MSI","50"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Oracle America, Inc.","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Oracle America, Inc.","MSI","50"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Sun Microsystems, Inc.","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Sun Microsystems, Inc.","MSI","50"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","ANSYS Inc.","EXE","25"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","ANSYS Inc.","MSI","30"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Altium LLC","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Creo_*.cmd","Script","150"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Creo_*.cmd","Script","150"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Creo_*.cmd","Script","150"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","Creo_*.cmd","Script","150"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","B31doc_en.exe","EXE","120"
"RUN_INS_\\itc.global.mahle\DEST-S\BU3_FEM\PERMAS\perm4win","Advanced Windows","Elevate","28463e6f-4bd1-4569-bce6-fe0d405a0e4d","MSI","15"
"RAS_APP_msdt_N","Advanced Windows","Elevate if necessary","msdt.exe","EXE","45"
